 ,Label,Area,Mean,XM,YM,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1719,Plate_10_p1.tif,25,255,36579.140,1945.540,22.142,0.641,6375,6375,2.322,0.431,0.820
1720,Plate_10_p1.tif,15,255,30326.833,1948.900,20.971,0.429,3825,3825,4.120,0.243,0.600
1721,Plate_10_p1.tif,17,255,32148.441,1946.735,14.485,1.000,4335,4335,1.336,0.749,0.919
1722,Plate_10_p1.tif,15,255,35097.700,1947.367,13.899,0.976,3825,3825,1.439,0.695,0.857
1723,Plate_10_p1.tif,11,255,3226.409,1947.864,11.071,1.000,2805,2805,1.372,0.729,0.957
1724,Plate_10_p1.tif,43,255,40004.105,1952.663,50.184,0.215,10965,10965,2.998,0.334,0.434
1725,Plate_10_p1.tif,70,255,13426.543,1952.371,30.627,0.938,17850,17850,1.096,0.912,0.875
1726,Plate_10_p1.tif,13,255,21399.654,1950.038,12.485,1.000,3315,3315,1.148,0.871,0.897
1727,Plate_10_p1.tif,21,255,43019.595,1951.738,17.314,0.880,5355,5355,1.560,0.641,0.857
1728,Plate_10_p1.tif,32,255,11242.625,1954.656,30.042,0.446,8160,8160,3.839,0.260,0.681
1729,Plate_10_p1.tif,220,255,36092.623,1962.073,82.912,0.402,56100,56100,1.256,0.796,0.764
1730,Plate_10_p1.tif,60,255,36578.833,1959.817,44.971,0.373,15300,15300,3.857,0.259,0.736
1731,Plate_10_p1.tif,44,255,14759.364,1955.455,24.971,0.887,11220,11220,1.352,0.740,0.880
1732,Plate_10_p1.tif,37,255,16041.824,1959.905,47.355,0.207,9435,9435,2.164,0.462,0.359
