 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
11386,94.342,255,39.441,0.762,13.843,24057.330,8160,12123,26310,119.745,10.927,1.404,0.712,0.821
11387,58.964,255,28.722,0.898,12.141,15035.831,5100,16408,26317,45.000,8.499,1.468,0.681,0.851
11388,41.275,255,22.860,0.993,10.012,10525.082,3570,21125,26318,149.036,6.868,1.345,0.743,0.824
11389,61.912,255,30.734,0.824,12.382,15787.623,5355,20067,26318,123.690,8.082,1.574,0.635,0.824
11390,53.068,255,30.734,0.706,13.077,13532.248,4590,4250,26320,156.801,6.868,1.983,0.504,0.800
11391,162.151,255,51.166,0.778,17.926,41348.536,14025,31062,26319,106.699,15.305,1.132,0.883,0.809
11392,67.809,255,38.435,0.577,13.843,17291.206,5865,8166,26322,172.875,8.447,1.641,0.609,0.708
11393,120.876,255,50.577,0.594,17.510,30823.454,10455,19739,26326,11.310,13.355,1.160,0.862,0.707
11394,76.653,255,32.573,0.908,13.077,19546.581,6630,16667,26327,23.199,9.982,1.118,0.895,0.812
11395,64.860,255,32.156,0.788,14.570,16539.414,5610,20228,26329,45.000,8.242,1.839,0.544,0.846
11396,53.068,255,29.728,0.755,13.077,13532.248,4590,28612,26331,66.801,6.868,1.996,0.501,0.818
11397,200.478,255,53.594,0.877,18.573,51121.826,17340,33538,26328,123.690,15.453,1.091,0.916,0.883
11398,97.291,255,39.441,0.786,16.198,24809.122,8415,25164,26343,32.005,10.646,1.666,0.600,0.795
11399,135.617,255,41.453,0.992,15.830,34582.412,11730,18417,26345,40.601,12.019,1.180,0.848,0.929
11400,218.167,255,58.034,0.814,20.024,55632.576,18870,11499,26340,120.964,17.170,1.088,0.919,0.886
11401,147.410,255,53.594,0.645,18.573,37589.578,12750,15744,26342,123.690,14.590,1.169,0.855,0.735
11402,291.872,255,64.730,0.875,22.908,74427.365,25245,9884,26352,12.995,20.001,1.031,0.970,0.857
11403,53.068,255,25.878,0.996,10.994,13532.248,4590,29785,26350,38.660,6.868,1.372,0.729,0.947
11404,123.824,255,42.875,0.846,18.493,31575.246,10710,15763,26357,21.801,10.302,1.634,0.612,0.884
11405,132.669,255,42.459,0.925,15.830,33830.620,11475,6575,26355,130.601,12.019,1.163,0.860,0.891
11406,120.876,255,54.600,0.510,20.959,30823.454,10455,12562,26370,34.992,12.141,1.897,0.527,0.651
11407,150.358,255,43.292,1.000,16.289,38341.370,13005,15316,26366,161.565,13.736,1.144,0.874,0.887
11408,271.235,255,63.307,0.850,21.514,69164.824,23460,17905,26374,61.390,19.426,1.060,0.943,0.856
11409,168.048,255,50.160,0.839,18.573,42852.119,14535,28344,26363,146.310,15.203,1.220,0.820,0.851
11410,120.876,255,42.875,0.826,15.358,30823.454,10455,4410,26374,116.565,12.910,1.158,0.864,0.820
11411,215.219,255,54.600,0.907,20.024,54880.784,18615,24512,26376,120.964,15.453,1.161,0.861,0.890
11412,156.255,255,50.749,0.762,20.959,39844.953,13515,18838,26394,55.008,13.736,1.474,0.678,0.822
11413,61.912,255,29.728,0.880,12.382,15787.623,5355,11747,26387,123.690,8.585,1.574,0.635,0.824
11414,47.171,255,32.156,0.573,13.843,12028.665,4080,42825,26393,29.745,6.868,2.238,0.447,0.727
11415,50.119,255,28.722,0.763,10.994,12780.457,4335,29819,26394,38.660,8.585,1.278,0.782,0.756
11416,85.498,255,35.591,0.848,13.410,21801.955,7395,34149,26398,50.194,10.302,1.184,0.845,0.829
11417,135.617,255,47.143,0.767,15.830,34582.412,11730,30278,26395,167.471,13.355,1.139,0.878,0.807
11418,82.550,255,33.162,0.943,13.410,21050.164,7140,9412,26402,50.194,8.585,1.351,0.740,0.903
11419,277.131,255,71.181,0.687,22.321,70668.407,23970,30064,26411,67.380,20.204,1.118,0.894,0.832
11420,85.498,255,34.585,0.898,13.077,21801.955,7395,7621,26401,113.199,10.102,1.357,0.737,0.829
11421,356.732,255,78.882,0.720,30.426,90966.779,30855,39036,26401,106.390,18.529,1.619,0.618,0.843
11422,61.912,255,29.728,0.880,13.410,15787.623,5355,31559,26410,50.194,8.447,1.678,0.596,0.857
11423,114.980,255,40.447,0.883,14.770,29319.871,9945,34287,26406,144.462,12.019,1.065,0.939,0.848
11424,41.275,255,22.860,0.993,10.012,10525.082,3570,4749,26410,30.964,6.868,1.345,0.743,0.824
11425,117.928,255,41.869,0.845,15.830,30071.663,10200,20146,26416,49.399,12.019,1.205,0.830,0.851
11426,47.171,255,23.866,1.000,10.012,12028.665,4080,23386,26415,120.964,6.868,1.371,0.729,0.889
11427,100.239,255,39.441,0.810,16.289,25560.913,8670,6730,26417,161.565,10.302,1.404,0.712,0.829
11428,88.446,255,37.013,0.811,13.843,22553.747,7650,22457,26426,60.255,10.302,1.343,0.744,0.833
11429,61.912,255,30.317,0.846,13.077,15787.623,5355,16688,26420,156.801,5.151,2.333,0.429,1.000
11430,409.800,255,81.900,0.768,28.422,104499.027,35445,10186,26425,154.983,22.321,1.141,0.876,0.848
11431,120.876,255,42.875,0.826,16.911,30823.454,10455,5066,26422,113.962,12.019,1.325,0.754,0.828
11432,88.446,255,40.864,0.666,16.198,22553.747,7650,14559,26433,57.995,10.927,1.401,0.714,0.741
11433,203.426,255,53.594,0.890,19.197,51873.618,17595,6732,26430,116.565,16.832,1.149,0.870,0.857
11434,153.307,255,61.295,0.513,19.426,39093.161,13260,10547,26432,135.000,15.453,1.137,0.879,0.693
11435,200.478,255,57.445,0.763,20.959,51121.826,17340,21973,26439,34.992,16.668,1.176,0.850,0.845
11436,179.840,255,51.166,0.863,19.197,45859.285,15555,19693,26435,153.435,15.453,1.178,0.849,0.841
11437,135.617,255,41.869,0.972,14.770,34582.412,11730,20887,26434,125.538,13.736,1.040,0.962,0.868
11438,112.032,255,44.887,0.699,16.998,28568.079,9690,16744,26441,45.000,12.019,1.229,0.814,0.776
11439,309.561,255,68.753,0.823,26.209,78938.114,26775,8523,26450,58.392,18.887,1.288,0.777,0.917
11440,159.203,255,43.881,1.000,16.198,40596.744,13770,31385,26436,122.005,13.736,1.035,0.967,0.923
11441,170.996,255,50.749,0.834,18.252,43603.911,14790,11045,26448,41.186,13.736,1.040,0.962,0.899
11442,82.550,255,33.162,0.943,13.077,21050.164,7140,11912,26441,113.199,8.585,1.423,0.703,0.903
11443,153.307,255,51.582,0.724,18.493,39093.161,13260,21774,26448,158.199,14.590,1.108,0.902,0.776
11444,182.789,255,55.433,0.748,20.747,46611.077,15810,2312,26452,155.556,13.810,1.544,0.648,0.821
11445,362.629,255,80.894,0.696,26.821,92470.362,31365,32576,26451,140.194,22.269,1.112,0.899,0.826
11446,44.223,255,22.860,1.000,9.247,11276.873,3825,8602,26455,21.801,6.868,1.127,0.887,0.857
11447,53.068,255,32.156,0.645,12.500,13532.248,4590,19391,26454,105.945,8.585,1.425,0.702,0.692
11448,224.063,255,62.890,0.712,23.354,57136.159,19380,6733,26466,53.973,17.661,1.268,0.788,0.788
11449,126.773,255,49.154,0.659,16.911,32327.037,10965,9140,26459,113.962,14.590,1.198,0.834,0.723
11450,224.063,255,58.034,0.836,20.959,57136.159,19380,10444,26470,55.008,15.453,1.171,0.854,0.884
11451,170.996,255,63.307,0.536,20.747,43603.911,14790,23125,26459,114.444,15.453,1.130,0.885,0.734
11452,126.773,255,47.732,0.699,17.678,32327.037,10965,4227,26466,29.055,12.019,1.263,0.792,0.789
11453,238.804,255,62.890,0.759,22.387,60895.117,20655,7673,26470,32.471,16.937,1.253,0.798,0.835
11454,47.171,255,27.717,0.772,11.518,12028.665,4080,41840,26466,26.565,6.911,2.058,0.486,0.727
11455,50.119,255,34.585,0.527,11.518,12780.457,4335,10203,26469,26.565,9.995,1.217,0.821,0.667
11456,182.789,255,58.034,0.682,21.854,46611.077,15810,12531,26475,45.000,15.825,1.205,0.830,0.805
11457,47.171,255,25.288,0.927,10.444,12028.665,4080,1101,26469,170.538,6.868,1.291,0.775,0.821
11458,153.307,255,56.022,0.614,18.573,39093.161,13260,2618,26476,33.690,15.408,1.165,0.859,0.754
11459,56.016,255,28.306,0.879,11.518,14284.040,4845,8700,26469,153.435,6.868,1.375,0.727,0.884
11460,73.705,255,30.734,0.981,13.410,18794.789,6375,11398,26482,50.194,8.585,1.447,0.691,0.926
11461,200.478,255,61.885,0.658,20.959,51121.826,17340,24306,26488,55.008,16.654,1.203,0.831,0.786
11462,132.669,255,49.154,0.690,18.493,33830.620,11475,847,26478,111.801,11.905,1.583,0.632,0.769
11463,47.171,255,27.300,0.795,11.518,12028.665,4080,34706,26481,26.565,6.516,1.971,0.507,0.821
11464,132.669,255,47.732,0.732,18.493,33830.620,11475,10677,26496,68.199,13.133,1.548,0.646,0.776
11465,58.964,255,27.717,0.965,11.518,15035.831,5100,7946,26493,63.435,8.447,1.441,0.694,0.833
11466,132.669,255,52.172,0.613,21.239,33830.620,11475,13835,26490,165.964,12.019,1.542,0.648,0.738
11467,44.223,255,26.294,0.804,10.859,11276.873,3825,15217,26492,18.435,6.868,1.700,0.588,0.769
11468,58.964,255,33.579,0.657,12.500,15035.831,5100,32902,26491,105.945,8.145,1.580,0.633,0.741
