Plate_Number,Plate_Name,Num_Spots,Mean_Circularity2,Std_Circularity2,Mean_Area_um2,Std_Area_um2,Mean_Feret_Ratio,Std_Feret_Ratio,Mean_Circularity,Std_Circularity,Emulsion_Depth_um,Total_Depth_um
1,Plate 09 (Top),245994,0.4040645852500468,0.16956072071464345,714.6007464625303,264.0854651837764,1.3330571343581543,0.2331621250087509,0.6195688675333544,0.14212348766333732,60.0,2060.0
2,Plate 08,216952,0.3726378857811866,0.18681395576741436,1007.584744756144,443.1930688002204,1.339570748383098,0.3299792550187719,0.5872200578929901,0.16676515696398586,60.0,2120.0
3,Plate 07,244781,0.4462962650900192,0.1847769741624217,758.6932334285251,314.21630400197523,1.3144260795561316,0.2510805343104867,0.6511075900498813,0.14951676359880323,120.0,4180.0
4,Plate 06,197686,0.35085817714456263,0.152784741467827,1112.7082066179375,424.72332357397306,1.277197192763787,0.15707235980879808,0.5783056513865423,0.12814380119296945,120.0,4240.0
5,Plate 05,227371,0.38524720552313185,0.1723437838702301,1083.0615201987223,410.0514985440703,1.2927400998011807,0.23313656188418752,0.6029594847188076,0.14726561273096173,180.0,6300.0
6,Plate 04,16091,0.5501931357280468,0.26958900749324244,443.14323857384903,331.46441806929516,1.7258515027319716,1.4159216458504273,0.7095185507426512,0.21628561917592257,180.0,6360.0
7,Plate 03,13421,0.6232893534013859,0.2019967777523016,380.2643762611611,270.03304605176805,1.46899166738017,0.32725912362229687,0.7786552417852618,0.1303327799036655,240.0,8420.0
8,Plate 02 (Bottom),5787,0.565514265940902,0.18686250342185073,586.7397906466558,305.1712306200772,1.5020771150772771,0.3396022839735852,0.7413449110074305,0.12619326716226842,240.0,8480.0
