============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Xe(34.7 GeV) ==> Ilford G_5+Glass Soda_Li( 8.24 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54 54 .1177969E+11   8240000E+01 -.4357E+04  .6783E+05   .9999994  .0009679 -.0005513
T   55 54 .1178815E+11   8240000E+01 -.2390E+06 -.1886E+06   .9999556 -.0086041 -.0038309
T   56 54 .1177485E+11   8240000E+01 -.1681E+06 -.2551E+06   .9999617 -.0057307 -.0066117
T   57 54 .1169091E+11   8240000E+01  .1928E+06 -.1650E+06   .9999785  .0037512 -.0053720
T   58 54 .1181766E+11   8240000E+01  .4264E+05  .1677E+06   .9999904  .0026021  .0035203
T   59 54 .1181709E+11   8240000E+01  .8264E+05 -.2011E+06   .9999914  .0026651 -.0031758
T   60 54 .1182682E+11   8240000E+01  .7593E+05  .9184E+05   .9999961  .0027326  .0005267
T   61 54 .1177731E+11   8240000E+01 -.2630E+05  .1317E+06   .9999983 -.0009435  .0015898
T   62 54 .1178605E+11   8240000E+01  .9052E+04 -.5014E+05   .9999924 -.0038748  .0003282
T   63 54 .1176950E+11   8240000E+01 -.2983E+05 -.1475E+06   .9999875 -.0008129 -.0049358
T   64 54 .1183428E+11   8240000E+01  .1186E+06 -.1750E+06   .9999960  .0022705 -.0016699
T   65 54 .1176864E+11   8240000E+01  .1140E+06 -.2601E+06   .9999757  .0010786 -.0068924
T   66 54 .1185137E+11   8240000E+01  .1195E+06  .2700E+05   .9999920  .0039275  .0007325
T   67 54 .1184158E+11   8240000E+01 -.2230E+06  .2195E+06   .9999555 -.0059695  .0073111
T   68 54 .1175776E+11   8240000E+01  .3148E+05 -.2875E+06   .9999781 -.0051458 -.0041628
T   69 54 .1173828E+11   8240000E+01 -.1703E+05 -.9951E+05   .9999863 -.0035470  .0038518
T   70 54 .1182937E+11   8240000E+01  .2164E+06  .8244E+05   .9999638  .0079757  .0029537
T   71 54 .1184355E+11   8240000E+01 -.7587E+05 -.1602E+06   .9999970 -.0001107  .0024404
T   72 54 .1177701E+11   8240000E+01 -.1219E+06 -.9305E+05   .9999973 -.0022897 -.0002449
T   73 54 .1180958E+11   8240000E+01 -.1415E+05 -.1380E+06   .9999977 -.0012160 -.0017641
T   74 54 .1177692E+11   8240000E+01  .1167E+06  .1292E+05   .9999974 -.0012243 -.0019209
T   75 54 .1180197E+11   8240000E+01 -.2878E+06  .1216E+06   .9999545 -.0083214  .0046595
T   76 54 .1182143E+11   8240000E+01 -.6581E+04 -.1196E+06   .9999671  .0013518 -.0080010
T   77 54 .1177736E+11   8240000E+01 -.4285E+05 -.4364E+06   .9999429 -.0032614 -.0101744
T   78 54 .1183287E+11   8240000E+01 -.9464E+05 -.2131E+05   .9999942 -.0018886  .0028344
