============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Xe(34.7 GeV) ==> Ilford G_5+Glass Soda_Li( 8.24 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  230 54 .1170363E+11   8240000E+01  .1087E+06 -.1249E+06   .9999983  .0015166 -.0010511
T  231 54 .1182942E+11   8240000E+01 -.2144E+06 -.1793E+05   .9999817 -.0058876  .0014155
T  232 54 .1182683E+11   8240000E+01 -.1053E+06 -.1324E+05   .9999955 -.0000666 -.0029936
T  233 54 .1184273E+11   8240000E+01 -.4554E+05 -.1632E+06   .9999769 -.0040427 -.0054585
T  234 54 .1177325E+11   8240000E+01  .2298E+06 -.1995E+04   .9999476  .0091474 -.0046025
T  235 54 .1175902E+11   8240000E+01  .1996E+06 -.9628E+05   .9999795  .0054559 -.0033511
T  236 54 .1178657E+11   8240000E+01 -.2040E+06  .6016E+05   .9999793 -.0051608  .0038497
T  237 54 .1174077E+11   8240000E+01  .7370E+04  .1641E+06   .9999579  .0014632  .0090564
T  238 54 .1180543E+11   8240000E+01 -.7370E+05  .1641E+06   .9999771 -.0027491  .0061792
T  239 54 .1164863E+11   8240000E+01  .1248E+06 -.2175E+06   .9999968  .0017088 -.0018438
T  240 54 .1187971E+11   8240000E+01  .2153E+06 -.1297E+06   .9999962  .0025415 -.0010884
T  241 54 .1180547E+11   8240000E+01 -.1167E+05  .1023E+06   .9999977 -.0015052 -.0015472
T  242 54 .1177936E+11   8240000E+01 -.8667E+05 -.2014E+06   .9999841 -.0032810 -.0045765
T  243 54 .1180797E+11   8240000E+01  .3128E+06 -.2144E+06   .9999585  .0072789 -.0054739
T  244 54 .1180358E+11   8240000E+01 -.4309E+06 -.4639E+05   .9999512 -.0098346 -.0009412
T  245 54 .1174788E+11   8240000E+01  .3637E+05 -.9989E+05   .9999853  .0031040 -.0044483
T  246 54 .1182062E+11   8240000E+01  .3303E+05 -.6182E+05   .9999944 -.0016430 -.0029090
T  247 54 .1182379E+11   8240000E+01 -.1013E+06  .2780E+06   .9999720 -.0016254  .0073006
T  248 54 .1174417E+11   8240000E+01 -.1726E+06 -.2413E+06   .9999681 -.0063669 -.0048275
T  249 54 .1177782E+11   8240000E+01 -.5916E+05  .8269E+04   .9999847  .0042203 -.0035852
T  250 54 .1181939E+11   8240000E+01 -.1551E+05 -.2287E+06   .9999912 -.0032449 -.0026763
T  251 54 .1180361E+11   8240000E+01  .5399E+06 -.1208E+06   .9998476  .0158760 -.0072570
T  252 54 .1182942E+11   8240000E+01  .6465E+05 -.2433E+06   .9999810 -.0028781 -.0054430
T  253 54 .1169722E+11   8240000E+01  .1613E+06 -.5352E+05   .9999750  .0067332 -.0021495
T  254 54 .1174464E+11   8240000E+01 -.1416E+06 -.1355E+06   .9999703 -.0039868 -.0065990
T  255 54 .1171920E+11   8240000E+01 -.1466E+06 -.1652E+06   .9999862 -.0052518  .0003178
T  256 54 .1174258E+11   8240000E+01 -.6997E+05 -.1646E+06   .9999906  .0024980 -.0035477
T  257 54 .1177998E+11   8240000E+01 -.3825E+05 -.1401E+06   .9999710  .0011314 -.0075303
T  258 54 .1187007E+11   8240000E+01 -.4067E+05  .1115E+05   .9999802  .0052115 -.0035222
T  259 54 .1168098E+11   8240000E+01  .2201E+05 -.4131E+06   .9999220  .0008906 -.0124579
T  260 54 .1179427E+11   8240000E+01 -.1168E+06  .1370E+06   .9999844 -.0034238  .0044033
T  261 54 .1180371E+11   8240000E+01  .1585E+06 -.2818E+05   .9999978  .0015956 -.0013670
T  262 54 .1180419E+11   8240000E+01  .2329E+05  .2036E+06   .9999987  .0009858  .0012491
T  263 54 .1181419E+11   8240000E+01  .2025E+06 -.1399E+05   .9999823  .0059551 -.0000654
T  264 54 .1179367E+11   8240000E+01 -.1806E+06  .6657E+05   .9999833  .0027045  .0051092
T  265 54 .1172606E+11   8240000E+01 -.3101E+06  .1600E+06   .9999425 -.0088781  .0060137
T  266 54 .1183105E+11   8240000E+01 -.3694E+05 -.2196E+05   .9999843  .0050463 -.0024350
T  267 54 .1182275E+11   8240000E+01  .1910E+06 -.9275E+04   .9999913  .0041605  .0001955
T  268 54 .1184155E+11   8240000E+01  .4283E+06 -.3576E+05   .9998910  .0140981 -.0043907
T  269 54 .1182737E+11   8240000E+01 -.8868E+05 -.2038E+06   .9999974 -.0002376 -.0022765
T  270 54 .1178933E+11   8240000E+01  .2167E+06 -.1332E+06   .9999920  .0037777 -.0013239
T  271 54 .1175075E+11   8240000E+01 -.9021E+05  .3609E+05   .9999979 -.0014766 -.0014353
T  272 54 .1176282E+11   8240000E+01  .2694E+06 -.2149E+06   .9999842  .0029067 -.0048078
T  273 54 .1185261E+11   8240000E+01 -.7268E+05 -.2492E+06   .9999912 -.0031155 -.0028146
T  274 54 .1177641E+11   8240000E+01 -.1341E+06  .1875E+04   .9999971 -.0015979  .0018051
T  275 54 .1177025E+11   8240000E+01 -.1241E+06 -.2810E+05   .9999981 -.0012047 -.0015072
T  276 54 .1176678E+11   8240000E+01  .1004E+06  .2612E+06   .9999740 -.0015332  .0070508
T  277 54 .1177973E+11   8240000E+01  .8615E+05  .7942E+05   .9999886  .0042551 -.0021554
T  278 54 .1184511E+11   8240000E+01  .6416E+05 -.1379E+06   .9999542  .0021891 -.0093145
T  279 54 .1176112E+11   8240000E+01  .1521E+06 -.7402E+05   .9999932  .0025756 -.0026570
T  280 54 .1187852E+11   8240000E+01  .7572E+05  .2181E+06   .9999665 -.0011444  .0081004
T  281 54 .1174198E+11   8240000E+01 -.1662E+06  .5766E+05   .9999816 -.0044921  .0040875
T  282 54 .1175939E+11   8240000E+01 -.1725E+06 -.7020E+05   .9999918 -.0039981 -.0005855
T  283 54 .1182323E+11   8240000E+01  .6278E+05 -.9729E+05   .9999963  .0025861  .0007838
T  284 54 .1179221E+11   8240000E+01 -.1786E+06 -.5381E+05   .9999925 -.0030828  .0023465
T  285 54 .1171250E+11   8240000E+01 -.8640E+05  .6507E+05   .9999860 -.0046783  .0024523
T  286 54 .1185928E+11   8240000E+01  .1020E+06  .7911E+05   .9999704  .0020748  .0074042
T  287 54 .1172608E+11   8240000E+01  .7969E+05  .2576E+06   .9999593  .0014107  .0089080
T  288 54 .1181863E+11   8240000E+01 -.7419E+05  .2273E+06   .9999862 -.0025555  .0045983
T  289 54 .1169312E+11   8240000E+01 -.2112E+06 -.1852E+06   .9999972 -.0023826 -.0000994
T  290 54 .1177980E+11   8240000E+01 -.8434E+05 -.1562E+06   .9999995 -.0007887 -.0006265
T  291 54 .1186876E+11   8240000E+01  .5150E+05  .1571E+06   .9999916  .0010949  .0039511
T  292 54 .1177053E+11   8240000E+01 -.3068E+05  .1015E+06   .9999854 -.0027088  .0046715
T  293 54 .1181651E+11   8240000E+01 -.1318E+06  .5368E+05   .9999976 -.0021656 -.0003342
T  294 54 .1182843E+11   8240000E+01 -.2110E+06  .1382E+06   .9999738 -.0036598 -.0062506
T  295 54 .1175595E+11   8240000E+01  .4775E+05 -.1916E+06   .9999960  .0006744  .0027334
T  296 54 .1176026E+11   8240000E+01  .1365E+06  .2745E+05   .9999792 -.0013294  .0063047
T  297 54 .1177413E+11   8240000E+01 -.2519E+05  .8898E+05   .9999931 -.0035954  .0009845
T  298 54 .1175758E+11   8240000E+01 -.1522E+06 -.9615E+03   .9999833 -.0054630 -.0018971
T  299 54 .1189182E+11   8240000E+01  .4149E+05  .3738E+04   .9999965 -.0026087  .0004821
T  300 54 .1171883E+11   8240000E+01  .5168E+05  .2047E+06   .9999905  .0017917  .0039723
T  301 54 .1177773E+11   8240000E+01  .2424E+05 -.1479E+06   .9999976 -.0003152 -.0021897
T  302 54 .1170367E+11   8240000E+01 -.4549E+05 -.3305E+05   .9999843 -.0049901 -.0025608
T  303 54 .1184048E+11   8240000E+01 -.9750E+05  .1111E+06   .9999945 -.0020901  .0025815
T  304 54 .1177417E+11   8240000E+01 -.5129E+05  .9543E+05   .9999971  .0002243  .0023825
T  305 54 .1185891E+11   8240000E+01 -.6214E+05  .2813E+06   .9999600 -.0020063  .0087137
T  306 54 .1180806E+11   8240000E+01  .8758E+05 -.1771E+06   .9999841  .0011246 -.0055170
T  307 54 .1172761E+11   8240000E+01  .5795E+05 -.3013E+05   .9999991  .0010799 -.0008424
T  308 54 .1178307E+11   8240000E+01  .5010E+06  .3045E+05   .9999915  .0040802 -.0006058
T  309 54 .1179756E+11   8240000E+01 -.2903E+06  .4016E+06   .9999381 -.0090564  .0064652
T  310 54 .1177791E+11   8240000E+01 -.7547E+05  .2228E+06   .9999749 -.0053366  .0046576
T  311 54 .1182176E+11   8240000E+01  .4754E+05  .9951E+05   .9999982 -.0011249  .0015173
T  312 54 .1176570E+11   8240000E+01 -.2962E+05 -.9383E+05   .9999892 -.0005224 -.0046261
T  313 54 .1178190E+11   8240000E+01  .4611E+05 -.5418E+04   .9999968  .0011149  .0022812
T  314 54 .1173404E+11   8240000E+01  .4612E+05  .7204E+05   .9999956 -.0026923  .0012120
T  315 54 .1177719E+11   8240000E+01 -.5379E+05  .2689E+04   .9999593 -.0077869  .0045669
T  316 54 .1178389E+11   8240000E+01  .3080E+06 -.1618E+05   .9998243  .0178803  .0056348
T  317 54 .1180533E+11   8240000E+01  .8986E+05  .1146E+06   .9999857 -.0040821 -.0034522
T  318 54 .1180399E+11   8240000E+01 -.5207E+05  .3978E+05   .9999923 -.0039153 -.0003106
T  319 54 .1180206E+11   8240000E+01 -.6489E+05 -.8916E+05   .9999682 -.0079587 -.0004060
T  320 54 .1183599E+11   8240000E+01 -.2246E+06  .3735E+05   .9999763 -.0047536  .0049886
T  321 54 .1173671E+11   8240000E+01 -.3745E+06  .9183E+05   .9998033 -.0180567  .0082067
T  322 54 .1177163E+11   8240000E+01 -.1217E+06  .2326E+06   .9999591 -.0062633  .0065172
T  323 54 .1179956E+11   8240000E+01  .1808E+06  .1289E+06   .9999748  .0018321  .0068608
T  324 54 .1177272E+11   8240000E+01 -.2508E+05  .1020E+06   .9999826 -.0023913  .0053877
T  325 54 .1186547E+11   8240000E+01 -.3442E+05  .6323E+05   .9999681 -.0005370  .0079656
T  326 54 .1176205E+11   8240000E+01 -.1342E+06  .1890E+06   .9999936 -.0020832  .0028957
T  327 54 .1168645E+11   8240000E+01 -.6301E+05  .3411E+05   .9999988  .0015226  .0000142
T  328 54 .1183433E+11   8240000E+01 -.5951E+05 -.2014E+06   .9999816  .0009385 -.0059976
T  329 54 .1183349E+11   8240000E+01  .1303E+06 -.1320E+06   .9999996  .0003218 -.0007965
T  330 54 .1178048E+11   8240000E+01 -.4457E+05 -.1651E+06   .9999992 -.0002930 -.0012086
T  331 54 .1180487E+11   8240000E+01  .1895E+06 -.1925E+06   .9999647  .0063592 -.0054844
T  332 54 .1177058E+11   8240000E+01 -.9486E+05 -.4845E+05   .9999989  .0012024 -.0008971
T  333 54 .1178860E+11   8240000E+01  .1569E+06  .1469E+06   .9999859  .0008172  .0052438
T  334 54 .1181771E+11   8240000E+01  .2068E+06  .1319E+06   .9999852  .0018398  .0051115
T  335 54 .1175770E+11   8240000E+01 -.2335E+06  .1753E+06   .9999797 -.0049824  .0039621
T  336 54 .1181314E+11   8240000E+01  .2282E+05 -.5817E+05   .9999901  .0014974  .0041953
T  337 54 .1178274E+11   8240000E+01 -.2348E+06 -.3505E+05   .9999720 -.0074336 -.0008361
T  338 54 .1177986E+11   8240000E+01  .1665E+06  .4572E+04   .9999811  .0056574 -.0024110
T  339 54 .1177743E+11   8240000E+01 -.2803E+06  .2058E+06   .9999933 -.0012098 -.0034563
T  340 54 .1182151E+11   8240000E+01  .9571E+05 -.9893E+05   .9999958  .0028930 -.0001847
T  341 54 .1185497E+11   8240000E+01 -.2039E+06  .9511E+05   .9999958 -.0022454  .0018404
T  342 54 .1179908E+11   8240000E+01  .1907E+06 -.4735E+05   .9999907  .0029790 -.0031193
T  343 54 .1177346E+11   8240000E+01  .9090E+05 -.5884E+05   .9999905 -.0043276 -.0004992
T  344 54 .1174762E+11   8240000E+01 -.1415E+06  .2227E+05   .9999647 -.0079382 -.0027543
T  345 54 .1179841E+11   8240000E+01 -.8123E+05  .3032E+06   .9999647 -.0045504  .0070570
T  346 54 .1176779E+11   8240000E+01  .9192E+05  .1496E+04   .9999904  .0041845 -.0012657
T  347 54 .1178573E+11   8240000E+01 -.1046E+06  .1706E+06   .9999626 -.0034563  .0079260
T  348 54 .1181759E+11   8240000E+01  .1308E+06 -.2613E+06   .9999860  .0014448 -.0050891
T  349 54 .1176440E+11   8240000E+01  .1427E+05 -.1710E+06   .9999917 -.0013718 -.0038292
T  350 54 .1178627E+11   8240000E+01 -.2079E+06 -.5087E+05   .9999697 -.0068172 -.0037480
T  351 54 .1178028E+11   8240000E+01 -.1350E+06 -.2149E+05   .9999872 -.0026667  .0042904
T  352 54 .1181314E+11   8240000E+01  .4094E+05 -.1132E+06   .9999961 -.0023822 -.0014365
T  353 54 .1182740E+11   8240000E+01  .2383E+06  .3879E+05   .9999752  .0070373 -.0001366
T  354 54 .1167157E+11   8240000E+01  .1167E+06 -.1050E+06   .9999605  .0074048 -.0049120
T  355 54 .1175294E+11   8240000E+01 -.6115E+03  .4876E+05   .9999756 -.0063927 -.0028081
T  356 54 .1182020E+11   8240000E+01  .1566E+05  .6077E+04   .9999780 -.0066217  .0003604
T  357 54 .1182197E+11   8240000E+01  .3177E+05 -.3423E+06   .9999732 -.0010159 -.0072448
T  358 54 .1182412E+11   8240000E+01 -.5457E+05 -.9789E+04   .9999986 -.0002198  .0016579
T  359 54 .1177935E+11   8240000E+01 -.2280E+06 -.3524E+06   .9999219  .0016288 -.0123938
T  360 54 .1174312E+11   8240000E+01  .1136E+06  .9979E+05   .9999939  .0022237  .0026970
T  361 54 .1175614E+11   8240000E+01  .1546E+06  .5023E+05   .9999850  .0053264 -.0012464
T  362 54 .1176059E+11   8240000E+01 -.1741E+06  .2603E+05   .9999917 -.0040174  .0007217
T  363 54 .1185967E+11   8240000E+01  .1358E+06 -.1831E+06   .9999956 -.0013122 -.0026636
T  364 54 .1177809E+11   8240000E+01 -.9645E+05  .1093E+06   .9999963  .0021586  .0016780
T  365 54 .1185063E+11   8240000E+01 -.5345E+06 -.1272E+06   .9998925 -.0124894 -.0076835
T  366 54 .1177809E+11   8240000E+01  .4678E+05 -.3321E+06   .9999602  .0018119 -.0087381
T  367 54 .1185187E+11   8240000E+01  .2069E+06 -.1087E+05   .9999913  .0031515 -.0027404
T  368 54 .1171253E+11   8240000E+01 -.9531E+05 -.5057E+06   .9999603 -.0006975 -.0088846
T  369 54 .1175363E+11   8240000E+01 -.2203E+06 -.1198E+05   .9999597 -.0086190 -.0025220
T  370 54 .1171573E+11   8240000E+01  .2463E+06 -.1716E+06   .9999791  .0041622 -.0049439
T  371 54 .1180404E+11   8240000E+01  .2378E+06 -.7125E+05   .9999907 -.0007854 -.0042391
T  372 54 .1180112E+11   8240000E+01 -.3461E+05  .3328E+05   .9999890 -.0044412 -.0015232
T  373 54 .1177732E+11   8240000E+01  .1059E+06  .6825E+05   .9999824  .0058433 -.0010143
T  374 54 .1179507E+11   8240000E+01  .3878E+05  .2155E+06   .9999999 -.0000299  .0005137
T  375 54 .1177840E+11   8240000E+01  .3403E+06  .2156E+06   .9999790  .0016607  .0062686
T  376 54 .1171050E+11   8240000E+01  .1796E+06  .1388E+05   .9999953 -.0030431 -.0003560
T  377 54 .1176563E+11   8240000E+01  .3147E+06  .1886E+06   .9999793  .0049865  .0040627
T  378 54 .1180575E+11   8240000E+01 -.9081E+05  .2678E+05   .9999955 -.0023662 -.0018560
T  379 54 .1178775E+11   8240000E+01 -.5797E+05 -.4919E+05   .9999948 -.0010133  .0030530
T  380 54 .1179441E+11   8240000E+01  .1353E+06 -.1129E+06   .9999865  .0050417  .0012198
T  381 54 .1177761E+11   8240000E+01  .1805E+06 -.4563E+05   .9999831  .0056680 -.0013140
T  382 54 .1182052E+11   8240000E+01  .1308E+06  .1207E+06   .9999973  .0013733  .0018844
T  383 54 .1178703E+11   8240000E+01  .8005E+05  .1582E+06   .9999949  .0016513  .0027514
T  384 54 .1176699E+11   8240000E+01  .2059E+05 -.1216E+06   .9999801  .0037206 -.0050917
T  385 54 .1183875E+11   8240000E+01 -.2654E+06 -.3778E+05   .9999923 -.0035938 -.0015707
T  386 54 .1175603E+11   8240000E+01  .9123E+05  .3619E+06   .9999635  .0016265  .0083929
T  387 54 .1179088E+11   8240000E+01 -.4103E+05  .1654E+06   .9999869 -.0050334  .0009623
T  388 54 .1171728E+11   8240000E+01 -.1962E+06  .3471E+06   .9999540 -.0038400  .0087851
T  389 54 .1178814E+11   8240000E+01  .1224E+06  .1432E+06   .9999529  .0093346  .0026754
T  390 54 .1174317E+11   8240000E+01  .3304E+06  .3976E+05   .9999532  .0093397 -.0025098
T  391 54 .1180986E+11   8240000E+01  .1831E+06 -.1087E+06   .9999878  .0033741 -.0036181
T  392 54 .1171272E+11   8240000E+01  .8844E+05 -.2376E+05   .9999975 -.0003704  .0022044
T  393 54 .1181409E+11   8240000E+01 -.2509E+06  .9707E+05   .9999916 -.0034832  .0021832
T  394 54 .1169542E+11   8240000E+01 -.7276E+05 -.1482E+06   .9999893  .0039707 -.0023770
T  395 54 .1177465E+11   8240000E+01 -.8214E+05  .3314E+05   .9999959  .0008115  .0027287
T  396 54 .1174108E+11   8240000E+01 -.6353E+05 -.8721E+05   .9999560  .0017134 -.0092239
T  397 54 .1179451E+11   8240000E+01 -.4519E+05  .1687E+06   .9999645 -.0058954  .0060254
T  398 54 .1180976E+11   8240000E+01 -.1534E+06  .2322E+06   .9999699 -.0041739  .0065440
T  399 54 .1172118E+11   8240000E+01  .1247E+06  .2016E+06   .9999881  .0044331  .0020541
T  400 54 .1176631E+11   8240000E+01 -.1619E+06  .2118E+06   .9999663 -.0031700  .0075792
T  401 54 .1176471E+11   8240000E+01 -.3918E+05  .1139E+06   .9999948 -.0031710  .0005572
T  402 54 .1177068E+11   8240000E+01 -.1589E+06  .6801E+05   .9999676 -.0066146 -.0045809
T  403 54 .1178434E+11   8240000E+01  .1495E+06 -.7763E+05   .9999702  .0076769 -.0007575
T  404 54 .1177344E+11   8240000E+01  .1348E+06  .7165E+05   .9999918 -.0038047 -.0013704
T  405 54 .1175169E+11   8240000E+01 -.1494E+06  .1594E+06   .9999829 -.0006572  .0058194
T  406 54 .1183502E+11   8240000E+01  .3374E+06  .4069E+05   .9999837  .0024734  .0051498
T  407 54 .1173244E+11   8240000E+01  .1729E+06  .1143E+06   .9999892  .0046036  .0005580
T  408 54 .1181674E+11   8240000E+01 -.1329E+06  .3005E+06   .9999694 -.0061500  .0048342
T  409 54 .1184825E+11   8240000E+01 -.7733E+05 -.1758E+06   .9999906 -.0039452 -.0018120
T  410 54 .1180081E+11   8240000E+01  .1218E+06  .9284E+05   .9999912  .0020747  .0036467
T  411 54 .1184612E+11   8240000E+01 -.3329E+05  .8145E+05   .9999983 -.0014560  .0011658
T  412 54 .1182216E+11   8240000E+01  .1316E+06  .4100E+06   .9999158  .0091736  .0091754
T  413 54 .1177858E+11   8240000E+01  .1950E+06 -.3339E+04   .9999644  .0081053 -.0023543
T  414 54 .1177110E+11   8240000E+01 -.3409E+05  .3399E+06   .9999973  .0019182  .0013159
T  415 54 .1177875E+11   8240000E+01  .1569E+06  .1088E+06   .9999978  .0018737  .0008993
T  416 54 .1179251E+11   8240000E+01 -.1859E+06 -.3908E+06   .9999231 -.0061988 -.0107412
T  417 54 .1173910E+11   8240000E+01  .2456E+05 -.1477E+06   .9999836  .0049619 -.0028637
T  418 54 .1176539E+11   8240000E+01 -.1577E+06  .2448E+06   .9999442 -.0007304  .0105371
T  419 54 .1178368E+11   8240000E+01 -.1272E+06  .1645E+06   .9999850 -.0051720  .0018269
T  420 54 .1173669E+11   8240000E+01 -.6566E+05 -.1942E+06   .9999886 -.0025003 -.0040620
T  421 54 .1178613E+11   8240000E+01 -.7199E+04 -.1818E+06   .9999765 -.0000156 -.0068485
T  422 54 .1177641E+11   8240000E+01  .2359E+05 -.2641E+06   .9999686 -.0044590 -.0065537
T  423 54 .1178324E+11   8240000E+01  .3097E+06  .4311E+05   .9999607  .0087055  .0016712
T  424 54 .1181344E+11   8240000E+01  .1025E+06  .8049E+05   .9999992  .0012291 -.0001936
T  425 54 .1188139E+11   8240000E+01 -.1606E+06  .2629E+05   .9999819 -.0033659  .0049951
T  426 54 .1174929E+11   8240000E+01  .4532E+05 -.8249E+05   .9999880 -.0014456 -.0046896
T  427 54 .1183546E+11   8240000E+01 -.8835E+05 -.5878E+05   .9999457 -.0103112 -.0014798
T  428 54 .1180940E+11   8240000E+01 -.8961E+05 -.6058E+05   .9999968  .0015142  .0020107
T  429 54 .1171093E+11   8240000E+01 -.1105E+06 -.1987E+06   .9999646 -.0052829 -.0065527
T  430 54 .1176872E+11   8240000E+01 -.2291E+06  .8306E+05   .9999884 -.0046520  .0012617
T  431 54 .1178020E+11   8240000E+01  .1476E+06  .1819E+06   .9999829  .0056534  .0015193
T  432 54 .1173232E+11   8240000E+01 -.2081E+04 -.1108E+06   .9999939 -.0000141 -.0034794
T  433 54 .1175729E+11   8240000E+01  .1731E+06  .6661E+05   .9999970  .0024324 -.0000670
T  434 54 .1177147E+11   8240000E+01  .5437E+05 -.5206E+05   .9999956  .0003898 -.0029398
T  435 54 .1177995E+11   8240000E+01  .1400E+06 -.1635E+06   .9999732  .0064552 -.0034598
T  436 54 .1181219E+11   8240000E+01 -.8265E+05  .1617E+06   .9999814 -.0014547  .0059290
T  437 54 .1171479E+11   8240000E+01  .8889E+05 -.2488E+06   .9999841  .0056277 -.0004084
T  438 54 .1179059E+11   8240000E+01 -.8926E+05 -.1955E+06   .9999626 -.0015403 -.0085143
T  439 54 .1182812E+11   8240000E+01 -.2185E+06 -.2692E+06   .9999981 -.0015290 -.0012450
T  440 54 .1185151E+11   8240000E+01  .1266E+06 -.9821E+05   .9999899  .0042989 -.0013389
T  441 54 .1176570E+11   8240000E+01 -.6413E+05  .1395E+06   .9999936  .0007592  .0034849
T  442 54 .1176225E+11   8240000E+01 -.1700E+06 -.1898E+06   .9999927 -.0018357 -.0033511
T  443 54 .1174943E+11   8240000E+01 -.2548E+06 -.7971E+04   .9999740 -.0072104  .0001104
T  444 54 .1185708E+11   8240000E+01  .1111E+07 -.3235E+06   .9996024  .0262764 -.0102226
T  445 54 .1180079E+11   8240000E+01  .1248E+03 -.1499E+06   .9999666  .0064717 -.0049942
T  446 54 .1185465E+11   8240000E+01 -.1899E+06 -.4648E+05   .9999870 -.0047842  .0017727
T  447 54 .1172630E+11   8240000E+01  .7116E+05 -.8164E+05   .9999904 -.0002488 -.0043725
T  448 54 .1178335E+11   8240000E+01  .1818E+06 -.1563E+06   .9999756  .0064706 -.0026270
T  449 54 .1182303E+11   8240000E+01  .4136E+05  .1314E+06   .9999952  .0007959  .0029917
T  450 54 .1175464E+11   8240000E+01 -.9012E+05 -.1138E+06   .9999869 -.0020928 -.0046747
T  451 54 .1184712E+11   8240000E+01 -.2022E+06  .3593E+05   .9999769 -.0066930 -.0011690
T  452 54 .1173613E+11   8240000E+01  .5481E+05  .1101E+06   .9999864  .0040836 -.0032543
T  453 54 .1182221E+11   8240000E+01 -.7360E+06 -.2732E+05   .9999710 -.0075663 -.0008570
T  454 54 .1183521E+11   8240000E+01  .1337E+05 -.2277E+06   .9999711 -.0009216 -.0075476
T  455 54 .1184609E+11   8240000E+01  .3355E+06 -.1158E+06   .9999498  .0099098 -.0014957
T  456 54 .1183508E+11   8240000E+01 -.2595E+04 -.3346E+05   .9999968 -.0023505 -.0009698
T  457 54 .1180566E+11   8240000E+01 -.2636E+06  .1682E+06   .9999816 -.0058109  .0017248
T  458 54 .1178473E+11   8240000E+01 -.4281E+06  .5993E+05   .9999406 -.0108892  .0005035
T  459 54 .1184408E+11   8240000E+01  .2719E+06 -.1341E+06   .9999648  .0078947 -.0028293
T  460 54 .1181218E+11   8240000E+01  .7787E+05  .5478E+04   .9999979  .0018977  .0007779
T  461 54 .1181110E+11   8240000E+01  .4330E+05 -.2241E+06   .9999805  .0053518 -.0032271
T  462 54 .1177874E+11   8240000E+01 -.5639E+05  .1328E+06   .9999980  .0003391  .0019515
T  463 54 .1177900E+11   8240000E+01  .3255E+06  .1536E+06   .9999945  .0032307 -.0007497
T  464 54 .1177755E+11   8240000E+01  .9294E+05 -.3296E+06   .9999860 -.0013026 -.0051358
T  465 54 .1172464E+11   8240000E+01  .2436E+05  .2138E+06   .9999494  .0016714  .0099180
T  466 54 .1183373E+11   8240000E+01 -.1915E+06  .1144E+06   .9999482 -.0084438  .0056913
T  467 54 .1176174E+11   8240000E+01 -.7732E+05  .1607E+06   .9999829 -.0030773  .0049659
T  468 54 .1179410E+11   8240000E+01 -.1335E+06 -.2169E+06   .9999595 -.0074279 -.0050825
T  469 54 .1185429E+11   8240000E+01 -.5451E+05  .3226E+05   .9999968 -.0000328 -.0025143
T  470 54 .1168646E+11   8240000E+01  .5946E+05  .1110E+06   .9999916  .0040458 -.0006070
T  471 54 .1181891E+11   8240000E+01  .1340E+06 -.1915E+06   .9999944  .0030961 -.0012913
T  472 54 .1179006E+11   8240000E+01  .1308E+06 -.7448E+05   .9999938  .0030188 -.0017885
T  473 54 .1181104E+11   8240000E+01  .1467E+05 -.4431E+05   .9999982  .0007302 -.0017402
T  474 54 .1174793E+11   8240000E+01  .7234E+05  .3565E+06   .9999945  .0012888  .0030432
T  475 54 .1181200E+11   8240000E+01  .5250E+05 -.9097E+05   .9999950 -.0005511 -.0031292
T  476 54 .1180380E+11   8240000E+01 -.1655E+06  .1113E+06   .9999999  .0003905 -.0000964
T  477 54 .1186262E+11   8240000E+01 -.1005E+06  .3939E+04   .9999964 -.0025926  .0007564
T  478 54 .1181759E+11   8240000E+01 -.4172E+05 -.3374E+04   .9999958  .0028869 -.0003727
T  479 54 .1179454E+11   8240000E+01 -.4514E+06  .1064E+06   .9999285 -.0042940  .0111649
T  480 54 .1180714E+11   8240000E+01  .1987E+06 -.9499E+04   .9999694  .0077758  .0008358
T  481 54 .1171978E+11   8240000E+01  .1340E+06 -.1333E+06   .9999163  .0056090 -.0116575
T  482 54 .1178245E+11   8240000E+01  .1006E+06  .7366E+05   .9999980  .0014554  .0013649
T  483 54 .1179269E+11   8240000E+01  .6931E+04 -.1304E+06   .9999860 -.0015416 -.0050584
T  484 54 .1174236E+11   8240000E+01  .2603E+06 -.5586E+05   .9999775  .0059808 -.0030405
T  485 54 .1175271E+11   8240000E+01 -.1176E+05 -.6151E+05   .9999912  .0041690  .0004021
T  486 54 .1177111E+11   8240000E+01 -.1220E+06 -.9139E+05   .9999955 -.0019755  .0022410
T  487 54 .1183927E+11   8240000E+01  .8553E+05  .3278E+06   .9999737  .0033089  .0064504
T  488 54 .1179181E+11   8240000E+01  .1717E+06  .1228E+06   .9999718 -.0016951  .0073109
T  489 54 .1182033E+11   8240000E+01  .1042E+06  .2552E+05   .9999852  .0054393  .0001098
