 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
2479,82.550,255,34.585,0.867,13.077,21050.164,7140,33475,4834,113.199,10.302,1.213,0.825,0.824
2480,58.964,255,41.453,0.431,17.926,15035.831,5100,12245,4846,73.301,5.151,3.293,0.304,0.741
2481,159.203,255,50.577,0.782,18.965,40596.744,13770,23252,4842,174.806,14.570,1.196,0.836,0.806
2482,297.768,255,69.759,0.769,24.584,75930.948,25755,21768,4842,155.225,18.740,1.147,0.871,0.849
2483,156.255,255,47.732,0.862,16.289,39844.953,13515,6742,4844,161.565,14.590,1.050,0.952,0.841
2484,47.171,255,24.872,0.958,11.518,12028.665,4080,17094,4843,116.565,5.151,2.001,0.500,0.941
2485,132.669,255,40.447,1.000,15.358,33830.620,11475,16990,4861,63.435,12.019,1.197,0.835,0.918
2486,156.255,255,45.893,0.932,18.252,39844.953,13515,18504,4853,138.814,12.019,1.330,0.752,0.930
2487,56.016,255,28.722,0.853,10.859,14284.040,4845,22378,4856,108.435,8.447,1.295,0.772,0.826
2488,56.016,255,54.011,0.241,25.755,14284.040,4845,2503,4866,36.870,5.653,6.811,0.147,0.494
2489,474.661,255,92.202,0.702,31.567,121038.442,41055,29631,4873,22.380,25.687,1.234,0.810,0.866
2490,41.275,255,25.288,0.811,10.012,10525.082,3570,30950,4861,149.036,6.868,1.155,0.866,0.824
2491,283.027,255,70.003,0.726,23.354,72171.990,24480,38586,4870,17.103,19.426,1.158,0.863,0.814
2492,123.824,255,42.875,0.846,16.289,31575.246,10710,7325,4880,71.565,12.019,1.179,0.848,0.848
2493,56.016,255,29.728,0.796,11.518,14284.040,4845,30538,4871,116.565,8.585,1.245,0.803,0.826
2494,64.860,255,32.746,0.760,13.410,16539.414,5610,1520,4872,140.194,8.585,1.280,0.781,0.846
2495,120.876,255,40.864,0.910,15.548,30823.454,10455,11116,4875,173.660,12.019,1.214,0.824,0.854
2496,159.203,255,50.160,0.795,16.911,40596.744,13770,20273,4882,66.038,13.736,1.074,0.931,0.878
2497,44.223,255,23.866,0.976,9.713,11276.873,3825,15076,4878,45.000,6.868,1.161,0.862,0.857
2498,97.291,255,40.864,0.732,18.573,24809.122,8415,23772,4876,146.310,9.048,2.322,0.431,0.795
2499,129.721,255,53.594,0.568,21.989,33078.829,11220,31184,4881,141.340,11.102,2.352,0.425,0.733
2500,356.732,255,69.759,0.921,25.526,90966.779,30855,14893,4895,42.274,20.604,1.148,0.871,0.903
2501,339.043,255,77.877,0.703,25.526,86456.030,29325,16491,4896,42.274,21.719,1.150,0.870,0.827
2502,229.960,255,60.879,0.780,22.908,58639.742,19890,29930,4886,102.995,16.893,1.303,0.767,0.825
2503,439.282,255,222.107,0.112,101.668,112016.943,37995,2501,4888,94.844,10.925,14.758,0.068,0.548
2504,100.239,255,40.447,0.770,15.830,25560.913,8670,34589,4892,167.471,10.302,1.577,0.634,0.829
2505,318.406,255,69.169,0.836,23.916,81193.489,27540,21682,4904,68.962,20.604,1.029,0.972,0.861
2506,44.223,255,35.001,0.454,16.998,11276.873,3825,3737,4892,135.000,6.071,3.825,0.261,0.600
2507,129.721,255,42.875,0.887,16.289,33078.829,11220,2201,4902,71.565,12.019,1.171,0.854,0.854
2508,61.912,255,31.151,0.802,14.770,15787.623,5355,16369,4893,144.462,6.911,2.505,0.399,0.824
2509,200.478,255,74.615,0.453,28.577,51121.826,17340,6496,4908,57.265,15.361,2.082,0.480,0.720
2510,138.566,255,46.726,0.798,16.289,35334.203,11985,7122,4902,161.565,13.810,1.089,0.918,0.825
2511,303.665,255,73.609,0.704,24.404,77434.531,26265,29115,4909,50.711,19.426,1.249,0.801,0.824
2512,100.239,255,38.019,0.871,14.770,25560.913,8670,3836,4920,54.462,10.411,1.338,0.747,0.840
2513,350.836,255,76.038,0.763,25.755,89463.196,30345,11376,4914,126.870,20.604,1.051,0.951,0.869
2514,377.370,255,198.974,0.120,49.912,96229.320,32640,13361,4915,93.945,27.139,1.757,0.569,0.396
2515,117.928,255,40.864,0.887,15.358,30071.663,10200,14745,4916,153.435,12.019,1.273,0.785,0.860
2516,103.187,255,50.160,0.515,21.989,26312.705,8925,43894,4926,38.660,8.891,3.163,0.316,0.707
2517,238.804,255,58.867,0.866,23.100,60895.117,20655,31146,4932,41.987,14.570,1.537,0.651,0.885
2518,56.016,255,51.166,0.269,23.036,14284.040,4845,41060,4941,63.435,6.143,4.340,0.230,0.559
2519,215.219,255,59.456,0.765,20.747,54880.784,18615,14142,4931,114.444,17.170,1.113,0.898,0.830
2520,79.601,255,32.156,0.967,12.382,20298.372,6885,16886,4931,123.690,10.302,1.204,0.831,0.885
2521,117.928,255,74.615,0.266,33.028,30071.663,10200,13367,4950,62.103,8.505,6.027,0.166,0.510
2522,123.824,255,47.732,0.683,17.926,31575.246,10710,26450,4936,163.301,13.054,1.404,0.712,0.757
2523,318.406,255,78.882,0.643,26.876,81193.489,27540,19231,4955,63.435,20.604,1.135,0.881,0.800
2524,50.119,255,25.878,0.941,11.518,12780.457,4335,6980,4946,26.565,5.151,1.977,0.506,0.971
2525,474.661,255,104.343,0.548,40.231,121038.442,41055,41350,4959,39.806,23.036,1.703,0.587,0.765
2526,132.669,255,47.732,0.732,16.998,33830.620,11475,14059,4954,45.000,13.049,1.275,0.784,0.796
2527,170.996,255,50.577,0.840,17.926,43603.911,14790,22155,4951,16.699,15.553,1.065,0.939,0.817
2528,194.581,255,50.160,0.972,18.493,49618.243,16830,4409,4947,111.801,15.453,1.102,0.908,0.892
2529,56.016,255,35.591,0.556,13.843,14284.040,4845,23544,4955,60.255,8.447,1.643,0.608,0.717
2530,221.115,255,114.229,0.213,49.557,56384.367,19125,2505,4949,104.036,7.745,8.938,0.112,0.630
2531,61.912,255,46.726,0.356,16.198,15787.623,5355,6863,4959,57.995,11.273,1.725,0.580,0.512
2532,147.410,255,154.777,0.077,73.852,37589.578,12750,18009,4951,91.332,3.434,28.101,0.036,0.606
2533,41.275,255,24.872,0.838,11.518,10525.082,3570,15385,4962,63.435,5.151,1.746,0.573,0.875
2534,91.394,255,33.162,1.000,13.410,23305.538,7905,32136,4958,129.806,10.302,1.078,0.928,0.925
2535,126.773,255,53.177,0.563,23.354,32327.037,10965,3521,4967,36.027,10.601,2.716,0.368,0.789
2536,82.550,255,36.007,0.800,12.500,21050.164,7140,16724,4963,15.945,10.302,1.056,0.947,0.800
2537,112.032,255,41.453,0.819,14.770,28568.079,9690,19483,4960,144.462,12.019,1.080,0.926,0.817
2538,44.223,255,34.585,0.465,16.198,11276.873,3825,6621,4960,122.005,5.715,3.426,0.292,0.667
2539,215.219,255,54.600,0.907,19.577,54880.784,18615,3592,4971,37.875,16.827,1.160,0.862,0.885
2540,41.275,255,24.872,0.838,10.994,10525.082,3570,8653,4965,38.660,6.868,1.572,0.636,0.903
2541,56.016,255,59.040,0.202,26.266,14284.040,4845,10304,4963,168.690,4.997,7.442,0.134,0.559
2542,88.446,255,40.447,0.679,14.770,22553.747,7650,6863,4964,125.538,11.660,1.174,0.851,0.741
2543,120.876,255,42.875,0.826,15.830,30823.454,10455,22263,4966,130.601,11.786,1.263,0.792,0.845
2544,168.048,255,129.215,0.126,57.719,42852.119,14535,10355,4967,157.249,6.989,11.668,0.086,0.535
2545,126.773,255,46.309,0.743,16.198,32327.037,10965,2876,4977,57.995,13.574,1.120,0.893,0.811
2546,212.271,255,53.594,0.929,19.197,54128.993,18360,22149,4973,153.435,17.074,1.105,0.905,0.873
2547,218.167,255,69.169,0.573,21.719,55632.576,18870,11023,4980,18.435,19.049,1.061,0.943,0.722
2548,398.007,255,101.326,0.487,39.192,101491.861,34425,27757,5000,61.189,18.052,2.539,0.394,0.712
2549,144.462,255,124.359,0.117,56.139,36837.787,12495,10386,4981,156.571,5.604,14.712,0.068,0.527
2550,50.119,255,24.872,1.000,10.994,12780.457,4335,14166,4983,128.660,6.868,1.497,0.668,0.919
2551,44.223,255,23.866,0.976,10.012,11276.873,3825,20185,4988,59.036,6.868,1.216,0.822,0.882
2552,144.462,255,45.893,0.862,18.493,36837.787,12495,18289,4989,21.801,10.302,1.759,0.569,0.916
2553,50.119,255,27.717,0.820,10.859,12780.457,4335,13319,4992,71.565,7.912,1.427,0.701,0.756
2554,79.601,255,32.573,0.943,13.843,20298.372,6885,27313,4992,29.745,9.713,1.499,0.667,0.818
2555,70.757,255,31.151,0.916,12.382,18042.998,6120,17790,4991,123.690,9.713,1.194,0.838,0.828
2556,64.860,255,50.160,0.324,23.854,16539.414,5610,10375,4992,149.744,6.058,5.436,0.184,0.611
2557,262.390,255,82.733,0.482,25.000,66909.449,22695,9973,4999,15.945,18.887,1.163,0.860,0.721
2558,103.187,255,40.864,0.777,16.289,26312.705,8925,27529,4998,18.435,9.215,1.866,0.536,0.805
2559,64.860,255,73.193,0.152,32.578,16539.414,5610,10417,4994,161.565,4.887,9.928,0.101,0.494
2560,56.016,255,27.300,0.944,10.994,14284.040,4845,21534,4994,141.340,8.585,1.208,0.828,0.864
2561,53.068,255,26.294,0.965,12.141,13532.248,4590,10575,4995,135.000,7.285,1.679,0.596,0.900
2562,627.967,255,106.182,0.700,35.398,160131.603,54315,17661,4999,165.964,27.692,1.393,0.718,0.857
