 ,Label,Area,Mean,XM,YM,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
393,10_Plate_001.tif,13.229,255.000,15137.710,309.686,19.003,0.460,3373.372,9945,1.491,0.670,0.634
394,10_Plate_001.tif,14.586,231.279,5614.317,309.835,16.332,0.687,3373.372,9945,1.177,0.849,0.796
395,10_Plate_001.tif,21.031,255.000,9195.164,316.277,37.922,0.184,5362.796,15810,10.363,0.096,0.646
396,10_Plate_001.tif,18.995,255.000,9974.104,311.299,16.532,0.873,4843.816,14280,1.271,0.787,0.868
397,10_Plate_001.tif,49.184,253.241,14446.758,314.668,34.028,0.534,12455.526,36720,1.188,0.842,0.738
398,10_Plate_001.tif,14.586,255.000,8439.917,313.534,20.309,0.444,3719.359,10965,1.735,0.576,0.623
399,10_Plate_001.tif,10.854,255.000,20315.103,314.957,13.378,0.762,2767.895,8160,1.753,0.570,0.762
400,10_Plate_001.tif,12.890,255.000,24552.371,314.287,13.378,0.905,3286.875,9690,1.496,0.669,0.874
401,10_Plate_001.tif,13.907,255.000,4314.410,315.873,15.026,0.774,3546.365,10455,1.339,0.747,0.804
402,10_Plate_001.tif,11.194,255.000,4478.645,315.411,17.497,0.459,2854.391,8415,1.234,0.811,0.660
403,10_Plate_001.tif,10.176,255.000,19194.176,316.540,13.861,0.666,2594.901,7650,1.831,0.546,0.750
404,10_Plate_001.tif,12.551,255.000,5318.933,317.060,13.037,0.928,3200.378,9435,1.310,0.763,0.831
405,10_Plate_001.tif,11.533,255.000,18624.824,319.864,21.532,0.313,2940.888,8670,6.059,0.165,0.654
406,10_Plate_001.tif,14.925,255.000,12250.702,318.552,15.367,0.794,3805.855,11220,1.705,0.586,0.830
407,10_Plate_001.tif,10.176,255.000,441.856,318.948,15.849,0.509,2594.901,7650,1.471,0.680,0.750
408,10_Plate_001.tif,30.867,221.374,17231.132,320.263,22.980,0.735,6833.240,20145,1.477,0.677,0.839
409,10_Plate_001.tif,40.704,255.000,18301.126,325.840,31.216,0.525,10379.605,30600,1.431,0.699,0.782
410,10_Plate_001.tif,21.370,190.238,14599.270,323.455,20.650,0.630,4065.345,11985,1.982,0.504,0.746
411,10_Plate_001.tif,21.709,251.016,19156.701,322.919,19.485,0.719,5449.293,16065,1.474,0.679,0.826
412,10_Plate_001.tif,20.013,255.000,17453.841,323.105,18.179,0.761,5103.306,15045,1.657,0.603,0.881
413,10_Plate_001.tif,34.938,247.573,3009.604,326.232,35.534,0.348,8649.671,25500,2.584,0.387,0.694
414,10_Plate_001.tif,12.551,255.000,5967.393,323.954,15.708,0.639,3200.378,9435,1.448,0.691,0.747
415,10_Plate_001.tif,10.515,255.000,6013.987,325.145,16.673,0.475,2681.398,7905,2.135,0.468,0.660
416,10_Plate_001.tif,40.365,252.857,1515.029,327.656,33.063,0.464,10206.612,30090,1.805,0.554,0.698
417,10_Plate_001.tif,14.586,255.000,23313.981,326.875,17.014,0.633,3719.359,10965,1.753,0.571,0.811
418,10_Plate_001.tif,12.211,255.000,7991.587,327.542,17.838,0.482,3113.882,9180,1.075,0.930,0.692
419,10_Plate_001.tif,51.559,255.000,17866.203,331.369,36.499,0.486,13147.500,38760,1.939,0.516,0.740
420,10_Plate_001.tif,34.259,255.000,4878.694,329.757,24.968,0.691,8736.168,25755,1.193,0.838,0.842
421,10_Plate_001.tif,30.189,255.000,9190.877,340.249,63.773,0.093,7698.207,22695,19.337,0.052,0.528
422,10_Plate_001.tif,11.872,255.000,7262.559,329.403,12.896,0.897,3027.385,8925,1.594,0.628,0.854
423,10_Plate_001.tif,14.586,255.000,5398.891,332.008,17.355,0.609,3719.359,10965,2.581,0.387,0.789
424,10_Plate_001.tif,23.405,214.348,2682.255,332.316,18.520,0.857,5016.809,14790,1.554,0.644,0.863
425,10_Plate_001.tif,20.013,255.000,16567.362,332.779,20.991,0.571,5103.306,15045,2.637,0.379,0.781
426,10_Plate_001.tif,26.458,255.000,14721.757,332.676,19.485,0.876,6746.743,19890,1.052,0.951,0.862
427,10_Plate_001.tif,21.370,222.619,15624.297,332.308,17.696,0.858,4757.319,14025,1.166,0.858,0.900
428,10_Plate_001.tif,15.603,255.000,9928.503,334.507,19.485,0.516,3978.849,11730,1.726,0.579,0.736
429,10_Plate_001.tif,12.211,255.000,23870.025,335.501,13.719,0.815,3113.882,9180,1.258,0.795,0.818
430,10_Plate_001.tif,10.854,239.062,3399.670,336.090,12.896,0.820,2594.901,7650,1.801,0.555,0.853
431,10_Plate_001.tif,14.247,255.000,13640.403,337.882,19.485,0.472,3632.862,10710,1.612,0.620,0.672
432,10_Plate_001.tif,10.176,255.000,19323.199,337.080,12.896,0.769,2594.901,7650,2.332,0.429,0.857
433,10_Plate_001.tif,12.551,255.000,12834.965,336.453,14.202,0.782,3200.378,9435,1.721,0.581,0.831
434,10_Plate_001.tif,11.533,255.000,20223.081,337.507,18.320,0.432,2940.888,8670,1.225,0.816,0.642
435,10_Plate_001.tif,13.229,209.231,17161.492,338.963,16.332,0.623,2767.895,8160,1.494,0.669,0.729
436,10_Plate_001.tif,10.854,255.000,1472.645,339.673,21.132,0.305,2767.895,8160,1.705,0.587,0.533
437,10_Plate_001.tif,20.013,255.000,9356.638,339.659,16.673,0.905,5103.306,15045,1.495,0.669,0.855
438,10_Plate_001.tif,10.854,255.000,19588.945,341.093,12.213,0.914,2767.895,8160,1.192,0.839,0.842
439,10_Plate_001.tif,13.229,255.000,17849.193,345.661,15.026,0.736,3373.372,9945,1.190,0.841,0.804
440,10_Plate_001.tif,58.682,234.364,25459.711,349.434,77.316,0.123,13752.977,40545,1.408,0.710,0.541
441,10_Plate_001.tif,14.925,255.000,4775.719,347.488,14.543,0.887,3805.855,11220,1.067,0.937,0.846
